P[day],d[hour]
2.322855500000000006e+01,3.250000000000000000e+00
1.181386999999999965e+01,2.064000000000000057e+00
1.360299999999999976e+01,2.975999999999999979e+00
6.554999999999999716e+01,4.607999999999999652e+00
7.053859999999999575e-01,1.703999999999999959e+00
5.712850000000000428e-01,1.507200000000000095e+00
1.333877000000000024e+01,4.440000000000000391e+00
7.281300000000000550e-01,7.992000000000000215e-01
1.613654999999999973e+01,2.100000000000000089e+00
6.180267500000000247e+00,3.867999999999999883e+00
3.595099999999999962e+00,4.330000000000000071e+00
1.562400000000000055e+01,6.370000000000000107e+00
3.574699999999999989e+01,9.560000000000000497e+00
5.746006999999999643e+00,1.336799999999999988e+00
1.628932199999999941e+00,8.092759999999999954e-01
1.580404820000000043e+00,8.788000000000000256e-01
5.182415999999999690e-01,7.239999999999999769e-01
3.561343910000000079e+01,3.512000000000000011e+00
2.853101600000000015e+00,1.141999999999999904e+00
3.336685899999999982e+00,1.780000000000000027e+00
1.197995930000000042e+00,1.013449299999999997e+00
3.930600000000000094e+00,1.290999999999999925e+00
3.219225000000000003e-01,6.290000000000000036e-01
2.616276870000000088e+00,1.134892999999999930e+00
2.643885609999999886e+00,9.689288999999999819e-01
1.467119030000000102e+00,1.006931299999999974e+00
1.208912240000000082e+00,1.199354400000000043e+00
3.648229999999999862e+00,1.824999999999999956e+00
6.201419999999999710e+00,1.247999999999999998e+00
1.744283049999999946e+00,2.192837200000000042e+00
3.691558989999999874e+00,2.720758000000000010e+00
4.465301400000000420e+00,2.494000000000000217e+00
4.887805329999999948e+00,2.415622200000000053e+00
3.213057800000000075e+00,2.169000000000000039e+00
2.916400449999999811e+00,3.286810000000000009e+00
4.627664000000000222e+00,2.306000000000000050e+00
1.086149106999999958e+01,5.551146700000000322e+00
2.775922519999999949e+00,3.002784399999999909e+00
1.033858969999999999e+01,3.911999999999999922e+00
5.508068220000000181e+00,2.639999500000000054e+00
4.008824500000000235e+00,2.737095899999999915e+00
5.633466199999999979e+00,4.234216199999999652e+00
2.875328749999999989e+00,1.879360399999999931e+00
4.124483299999999630e+00,3.567000000000000171e+00
3.212232499999999824e+00,2.654999999999999805e+00
1.212913850000000071e+00,2.186278499999999791e+00
3.355249900000000007e+00,3.547000000000000153e+00
3.652820999999999874e+00,2.676000000000000156e+00
4.234215309999999732e+00,2.516625700000000077e+00
3.039085070000000055e+00,1.645507599999999959e+00
3.257389799999999891e+00,3.140082599999999946e+00
5.723858189999999624e+00,3.854514099999999832e+00
2.899740500000000054e+00,1.848999999999999977e+00
2.810600599999999893e+00,1.955999999999999961e+00
5.005260500000000334e+00,4.905764600000000364e+00
2.149990719999999911e+00,3.102696799999999921e+00
3.474476300000000073e+00,4.258000000000000007e+00
5.452647899999999659e+00,3.400999999999999801e+00
3.646661209999999986e+00,3.922517800000000054e+00
1.327348200000000089e+00,2.083000000000000185e+00
2.797475739999999877e+00,2.214913199999999804e+00
4.640126920000000155e+00,3.032014399999999998e+00
3.543889300000000020e+00,3.991000000000000103e+00
3.056525900000000018e+00,4.144999999999999574e+00
4.457144369999999967e+00,6.108971099999999765e+00
2.694034779999999962e+00,4.107351200000000091e+00
4.641836800000000096e+00,3.721000000000000085e+00
3.332680700000000051e+00,3.136000000000000121e+00
4.301197499999999785e+00,2.982000000000000206e+00
8.722000000000000455e+02,1.207199999999999918e+01
3.128992000000000218e+00,3.446400000000000130e+00
4.463129000000000346e+00,3.098399999999999821e+00
2.691561380000000003e+00,4.240126599999999968e+00
2.788472270000000197e+00,2.946246400000000154e+00
3.122023700000000179e+00,3.410000000000000142e+00
4.218662499999999760e+00,3.258099800000000101e+00
2.753599299999999861e+00,2.141000000000000014e+00
1.961808500000000066e+00,2.749000000000000110e+00
3.799845100000000198e+00,1.427999999999999936e+00
3.585228369999999831e+00,3.019722400000000029e+00
2.790825770000000094e+00,2.233014600000000183e+00
2.465294999999999792e+00,3.498720000000000052e+00
4.013570050000000222e+00,4.138120200000000359e+00
4.141980509999999782e+00,2.380965400000000010e+00
3.852996200000000204e+00,3.359999999999999876e+00
4.794772899999999893e+00,4.774000000000000021e+00
1.902338679999999949e+00,1.752449099999999982e+00
2.645212089999999794e+00,3.055983599999999800e+00
3.377727999999999842e+00,2.932999999999999829e+00
