t,f,df
4.647419554277003044e+02,1.000764369964599609e+00,2.777494373731315136e-04
4.647623895062351949e+02,1.000135421752929688e+00,2.776930923573672771e-04
4.647828236848654342e+02,1.000053286552429199e+00,2.776880864985287189e-04
4.648032579636274022e+02,1.000060915946960449e+00,2.776460023596882820e-04
4.648236920424678829e+02,1.000591397285461426e+00,2.777528134174644947e-04
4.648441262214328162e+02,1.000090599060058594e+00,2.777446643449366093e-04
4.648645605005149264e+02,9.997114539146423340e-01,2.777083136606961489e-04
4.648849945796755492e+02,1.000215888023376465e+00,2.777326444629579782e-04
4.649054287589315209e+02,1.000215888023376465e+00,2.776845649350434542e-04
4.649462971177854342e+02,1.000785708427429199e+00,2.777288027573376894e-04
4.649667312973615481e+02,1.000374555587768555e+00,2.777164918370544910e-04
4.649871655770548386e+02,1.000558495521545410e+00,2.777082845568656921e-04
4.650075996568266419e+02,9.999925494194030762e-01,2.777288609649986029e-04
4.650280338367228978e+02,1.000704050064086914e+00,2.777502813842147589e-04
4.650484681167217786e+02,1.000336289405822754e+00,2.777425979729741812e-04
4.650689022968144855e+02,1.000580430030822754e+00,2.778087509796023369e-04
4.650893363770155702e+02,1.000337958335876465e+00,2.777412009891122580e-04
4.651097706573200412e+02,1.000544071197509766e+00,2.777784829959273338e-04
4.651302048377183382e+02,9.999715089797973633e-01,2.777301706373691559e-04
4.651506389182250132e+02,1.000791430473327637e+00,2.777443442028015852e-04
4.651710731988350744e+02,1.000142574310302734e+00,2.777185873128473759e-04
4.651915073795535136e+02,1.000741839408874512e+00,2.777566551230847836e-04
4.652119414603657788e+02,1.000115513801574707e+00,2.777054614853113890e-04
4.652323757412959822e+02,1.000269770622253418e+00,2.777595946099609137e-04
4.652528099223054596e+02,1.000244140625000000e+00,2.777187619358301163e-04
4.652732440034378669e+02,9.997825622558593750e-01,2.777048794087022543e-04
4.652936782846591086e+02,1.000319242477416992e+00,2.777177141979336739e-04
4.653141124659887282e+02,1.000185132026672363e+00,2.777846821118146181e-04
4.653345465474121738e+02,1.000329971313476562e+00,2.777431509457528591e-04
